place_id,lat,lon,name,rating,intl_phone_nr,review_count,busstop_id,price_level,opening_hours,website,photo_reference,types,full_busstop_id
ChIJwT4A-_aRGGARA895R0Demzk,35.7752394,139.77582,Amidahashi Park,3.8,+81 3-3880-5314,4,Adachidaigochuugakkoumae,,"[u'Monday: Open 24 hours', u'Tuesday: Open 24 hours', u'Wednesday: Open 24 hours', u'Thursday: Open 24 hours', u'Friday: Open 24 hours', u'Saturday: Open 24 hours', u'Sunday: Open 24 hours']",,CmRaAAAAbmM-syBFgTVVxalplbqlhdJaXzTg3cp33qFFnTFHtXU9blMwYFxroFUElsPxtzfmyVECJE0hQE7KxXsVvQ5PA6OqEDvlPLa8Kvn1qlWSH3cgn2fxtslDk2d8vKC79-asEhDdG6eZi5gfMVOyhzxR3XRvGhRszaq0TfjZjE7MYtcXdqVKJNkiKQ,"[u'park', u'point_of_interest', u'establishment']",Toei.Adachidaigochuugakkoumae.2151.1
ChIJb8bIevGRGGARGZhSQMx51WU,35.778226,139.7798817,Mame-Tsubaki,4,+81 3-5647-6936,5,Adachidaigochuugakkoumae,,"[u'Monday: 10:00 AM \u2013 6:30 PM', u'Tuesday: 10:00 AM \u2013 6:30 PM', u'Wednesday: 10:00 AM \u2013 6:30 PM', u'Thursday: Closed', u'Friday: 10:00 AM \u2013 10:00 PM', u'Saturday: 10:00 AM \u2013 10:00 PM', u'Sunday: 10:00 AM \u2013 6:30 PM']",http://mametsubaki.com/,CmRaAAAAShTZ1kdj5Ubc8Fmsj-o9--dDOtMDaCA-5ItX2jXEiRP2u1nV8ztXmVt-Df1kUTIppBUJLhhPz0PWtFasa1T-z890aHXpFaIBIaBiC6tjHiHMGijhMFCWmOIuLxiVDwvMEhDa1iPCIIYxmMmwfbyFNcG7GhTzYw5K255TeR2_3azA-Yp6GoGqVA,"[u'cafe', u'food', u'point_of_interest', u'establishment']",Toei.Adachidaigochuugakkoumae.2151.1
ChIJ98_zB_GRGGARWjLVrbK3tc0,35.7771862,139.780517,サムライカフェ,3.9,+81 3-5809-5641,5,Adachidaigochuugakkoumae,2,,http://samuraicafe.net/,CmRaAAAAJw-uA5TtS0p5CbSVBf1WFOwpgKw6ItZxfRf198f7Rmb10T1-ETDqio8BslYbU7lxECE7dc4z2FKE-G_1b1lnEaqurEstU5nRjOeJb2Nv3FopQNhBxUVBSfxrIC084hRnEhCOOehEJfIevg2dVxFJT137GhTUfTCNGQ-egOizkdiIX-k2ar9jNw,"[u'cafe', u'food', u'point_of_interest', u'establishment']",Toei.Adachidaigochuugakkoumae.2151.1
ChIJ3y-nB-WRGGARFHDRUq1_Gqc,35.7753606,139.7861462,St.Marc Cafe,4,+81 3-5888-1309,5,Adachidaigochuugakkoumae,1,"[u'Monday: 10:00 AM \u2013 9:00 PM', u'Tuesday: 10:00 AM \u2013 9:00 PM', u'Wednesday: 10:00 AM \u2013 9:00 PM', u'Thursday: 10:00 AM \u2013 9:00 PM', u'Friday: 10:00 AM \u2013 9:00 PM', u'Saturday: 10:00 AM \u2013 9:00 PM', u'Sunday: 10:00 AM \u2013 9:00 PM']",http://www.saint-marc-hd.com/cafe/,CmRaAAAAPO_XR9aUew7nyNRbryz5gD-vkoMzYTgknUK-bpzbHlkTF7YmCu-Af_PMQzjYiDY9N-FMmc0Bfe6lVeYi091nkGkXjMV8043afW00pkjXtZ0Y4WHZtd-bL34w5GwptFyVEhA-uuakWLibDawpbm4PX3T5GhQPgUfcT5lTwdQXF529rsaeTYiz-g,"[u'cafe', u'food', u'point_of_interest', u'establishment']",Toei.Adachidaigochuugakkoumae.2151.1
ChIJMwHJV-KNGGAROuY2-dQypGU,35.749786,139.770828,る・ぷら,3.9,+81 3-3819-0345,5,Adachiodaiekimae,3,"[u'Monday: 11:30 AM \u2013 2:30 PM, 5:00 \u2013 10:00 PM', u'Tuesday: 11:30 AM \u2013 2:30 PM, 5:00 \u2013 10:00 PM', u'Wednesday: Closed', u'Thursday: 11:30 AM \u2013 2:30 PM, 5:00 \u2013 10:00 PM', u'Friday: 11:30 AM \u2013 2:30 PM, 5:00 \u2013 10:00 PM', u'Saturday: 11:30 AM \u2013 2:30 PM, 5:00 \u2013 10:00 PM', u'Sunday: 11:30 AM \u2013 2:30 PM, 5:00 \u2013 10:00 PM']",,CmRaAAAADuJJKBIiohz89scMN8ifKyN_-x3VXJOoAEg8pHbzbTDNenrRRdDT1DNJgM7uyP3uzgAArqZnP6obOqHgBTCwpBjLQZnwSjJlD-VIjuVEI3WxIvuL9mEmFmaqfrzy7oZNEhAxuf9-Z9u4DT8CYsmgvgEPGhTwj60j_TO1eg1qIORHKMLdNe0Q2A,"[u'restaurant', u'food', u'point_of_interest', u'establishment']",Toei.Adachiodaiekimae.2567.1
ChIJVVUxcuONGGARCtxyQdahDek,35.7494728,139.7687821,備長炭焼き鳥 俊,4.3,+81 3-3810-3533,5,Adachiodaiekimae,2,"[u'Monday: Closed', u'Tuesday: 5:00 \u2013 11:30 PM', u'Wednesday: 5:00 \u2013 11:30 PM', u'Thursday: 5:00 \u2013 11:30 PM', u'Friday: 5:00 \u2013 11:30 PM', u'Saturday: 5:00 \u2013 11:30 PM', u'Sunday: 5:00 \u2013 11:30 PM']",,CmRaAAAAQl8fFKkekGvvk5fDV9zYIl1a0smECNcd11F5yDd4gZgW93yQxiMQLm0d3RAnx96kVnLSuM_jASTFGyp3piG68DLob5zjpdEcbkJ9NRlWyi_pNOFj1JicpfqD_0goJUE3EhDZAof8dvnjwoqujP8DyhZ2GhRcqt701UctCo6vIUxdzlCprn8dZw,"[u'restaurant', u'food', u'point_of_interest', u'establishment']",Toei.Adachiodaiekimae.2567.1
ChIJFThSouONGGARte8kheafQBk,35.7487445,139.7692251,Large （ラルジュ）,3.7,+81 3-6807-6587,5,Adachiodaiekimae,2,"[u'Monday: 11:30 AM \u2013 3:00 PM, 5:30 \u2013 9:30 PM', u'Tuesday: 11:30 AM \u2013 3:00 PM, 5:30 \u2013 9:30 PM', u'Wednesday: 11:30 AM \u2013 3:00 PM, 5:30 \u2013 9:30 PM', u'Thursday: Closed', u'Friday: 11:30 AM \u2013 3:00 PM, 5:30 \u2013 9:30 PM', u'Saturday: 11:30 AM \u2013 3:00 PM, 5:30 \u2013 9:30 PM', u'Sunday: 11:30 AM \u2013 3:00 PM, 5:30 \u2013 9:30 PM']",,CmRaAAAAV-wxIkrGmVMRll1Ewk0TNbIvnjAA94sk8SooyRBV7xa6GOi9w6r2BSXZjbzKO_6xWQivIB1HMU6nacbM_T6SKOKoy-8JHh_EJw3K6nfxmJv8i0cvNmtFq8m49i3X_B3HEhBoG8bmHd2cPLHzDGhT3foFGhTp-MpQu_3Io_dmXzGPH6kWETE_YQ,"[u'restaurant', u'food', u'point_of_interest', u'establishment']",Toei.Adachiodaiekimae.2567.1
ChIJZ8aGvsWTGGARRcOi49f0j50,35.8036721,139.7591077,Marugame Seimen,3.5,+81 3-3897-6590,5,Adachiryuutsuusenta-,1,"[u'Monday: 11:00 AM \u2013 10:00 PM', u'Tuesday: 11:00 AM \u2013 10:00 PM', u'Wednesday: 11:00 AM \u2013 10:00 PM', u'Thursday: 11:00 AM \u2013 10:00 PM', u'Friday: 11:00 AM \u2013 10:00 PM', u'Saturday: 11:00 AM \u2013 10:00 PM', u'Sunday: 11:00 AM \u2013 10:00 PM']",http://www.toridoll.com/shop/marugame/,CmRaAAAAVbxSrlTKlFWCgzFamD6K6xukbfxCQ6TFnkPYRBrLbrEZrG8Qtrs62wRow5vQM517Cvwi4maJUCoXYsc8i7w5dGs9s7epk4PzMrYMJYNVr5U8T88iokNx8ugPw4ZrDx9SEhCoDhyj7BHwYgS2TIndOsugGhToWlfWp0mTUD45rGX11cggdWZdtg,"[u'restaurant', u'food', u'point_of_interest', u'establishment']",Toei.Adachiryuutsuusenta-.52.1
ChIJB9bGBNKTGGARrOY9zqAjQy8,35.7991748,139.7632326,Iroha Sushi,,+81 3-3857-7193,,Adachiryuutsuusenta-minami,,,,,"[u'restaurant', u'food', u'point_of_interest', u'establishment']",Toei.Adachiryuutsuusenta-minami.2510.1
ChIJs-cmrryRGGAR48_HKQYs-_s,35.7992782,139.7978148,菜々や,4.7,+81 3-5242-2929,3,Adachiseisoukoujoumae,2,"[u'Monday: 5:00 PM \u2013 2:00 AM', u'Tuesday: 5:00 PM \u2013 2:00 AM', u'Wednesday: 5:00 PM \u2013 2:00 AM', u'Thursday: 5:00 PM \u2013 2:00 AM', u'Friday: 5:00 PM \u2013 2:00 AM', u'Saturday: 4:00 PM \u2013 1:00 AM', u'Sunday: 4:00 PM \u2013 1:00 AM']",,CmRaAAAAlNydnCndGAKtFLMN2WuEw9U1fuKaWq-eGDY6ei7yHhpSiItaNnzVKf7hAWAPbZys3XTlM4dlK4EvUu7bXk_NyAAKXnH0EMo49qWD6VIqbdppRfxztAsFTvLgz7xVYoJ-EhBENUZ3fTVuHPNMWUTZFEO8GhQXxN-7ch3BeL1QFHAIP4ywfz7cjA,"[u'restaurant', u'food', u'point_of_interest', u'establishment']",Toei.Adachiseisoukoujoumae.50.1
ChIJvTHunJmRGGARSJJ4kyFRZFU,35.7982162,139.7889703,雅知,4.1,+81 3-5809-4134,5,Adachiseisoukoujoumae,1,"[u'Monday: 11:30 AM \u2013 2:30 PM, 6:00 \u2013 11:00 PM', u'Tuesday: 11:30 AM \u2013 2:30 PM', u'Wednesday: Closed', u'Thursday: 11:30 AM \u2013 2:30 PM, 6:00 \u2013 11:00 PM', u'Friday: 11:30 AM \u2013 2:30 PM, 6:00 \u2013 11:00 PM', u'Saturday: 11:30 AM \u2013 2:30 PM, 6:00 \u2013 11:00 PM', u'Sunday: 11:30 AM \u2013 2:30 PM, 6:00 \u2013 11:00 PM']",,CmRaAAAAqZx4sJxTVpOHE6S1c3kOnmws_CrOKTi-mkdgGAcQgSq03mzYfm89d2DlDNUAfaASYp_U_Vk4XuhxY5-A-K1avm4aqcdLsdj0eLZd_1eUappQGf0n7oyBMepCFIXmVmUFEhBRVdcrOqfks1ooc1eAZ-JSGhT3DGlgKrqDfetj3toWlZQY_NBN-w,"[u'restaurant', u'food', u'point_of_interest', u'establishment']",Toei.Adachiseisoukoujoumae.50.1
ChIJK0TdDneLGGARGcVw09O3M20,35.6601565,139.7287424,六本木ヒルズＡＤギャラリー,3.5,+81 3-6406-6875,2,Aiikukurinikkumae,,"[u'Monday: 10:00 AM \u2013 10:00 PM', u'Tuesday: 10:00 AM \u2013 5:00 PM', u'Wednesday: 10:00 AM \u2013 10:00 PM', u'Thursday: 10:00 AM \u2013 10:00 PM', u'Friday: 10:00 AM \u2013 10:00 PM', u'Saturday: 10:00 AM \u2013 10:00 PM', u'Sunday: 10:00 AM \u2013 10:00 PM']",http://www.macmuseumshop.com/,CmRaAAAAcJdcl76YeapWMqamQJ6tC_2EW8CRJRsayyHFTIX7y7XkywAYvqAL_5xuAxZAQmHAgoWZiQ1ssbX5d8Jb4qniUHVSjzV4PXn_70v54DwZOlsH4xcn0dIcsirWwJ_Ax0sIEhBTVqyuJ3MttY_XNHBGX9wjGhTLZwYcQk2tHn3jk9Iw4t_4LyfA7Q,"[u'art_gallery', u'point_of_interest', u'establishment']",Toei.Aiikukurinikkumae.1.1
